"日期","最新","开盘","高","低","百分比变化"
"2017年11月17日","7,677.90","7,865.00","8,029.80","7,511.10","-2.37"
"2017年11月16日","7,864.20","7,273.70","8,012.90","7,099.90","8.05"
"2017年11月15日","7,278.30","6,589.90","7,310.20","6,589.90","10.63"
"2017年11月14日","6,579.20","6,476.50","6,687.80","6,315.40","1.62"
"2017年11月13日","6,474.60","5,806.50","6,680.00","5,786.10","11.21"
"2017年11月12日","5,822.10","6,282.40","6,465.00","5,426.00","-7.60"
"2017年11月11日","6,300.70","6,541.20","6,788.00","6,166.00","-3.69"
"2017年11月10日","6,542.20","7,123.30","7,313.10","6,405.20","-8.20"
"2017年11月9日","7,126.20","7,447.00","7,447.00","7,017.60","-4.25"
"2017年11月8日","7,442.40","7,102.00","7,895.00","7,029.90","4.77"
"2017年11月7日","7,103.30","6,959.60","7,214.40","6,959.00","2.13"
"2017年11月6日","6,955.00","7,355.10","7,429.50","6,915.10","-5.78"
"2017年11月5日","7,382.00","7,370.90","7,595.00","7,272.00","0.18"
"2017年11月4日","7,369.00","7,104.00","7,521.10","6,936.50","1.24"
"2017年11月3日","7,278.40","7,018.90","7,447.50","6,926.50","3.68"
"2017年11月2日","7,019.90","6,735.00","7,315.10","6,724.50","4.35"
"2017年11月1日","6,727.30","6,450.20","6,727.30","6,348.00","4.17"
"2017年10月31日","6,458.30","6,129.90","6,472.10","6,082.70","5.44"
"2017年10月30日","6,125.30","6,146.00","6,237.20","6,010.00","-0.50"
"2017年10月29日","6,156.00","5,718.10","6,330.00","5,662.90","7.61"
"2017年10月28日","5,720.60","5,759.80","5,863.90","5,634.70","-0.68"
"2017年10月27日","5,759.60","5,890.00","6,010.20","5,681.20","-2.21"
"2017年10月26日","5,890.00","5,724.20","5,966.60","5,680.50","2.97"
"2017年10月25日","5,720.00","5,509.90","5,743.90","5,367.90","3.82"
"2017年10月24日","5,509.50","5,902.50","5,902.50","5,457.50","-6.73"
"2017年10月23日","5,906.90","5,980.50","6,051.00","5,639.80","-1.23"
"2017年10月22日","5,980.50","6,005.10","6,069.60","5,717.90","-0.41"
"2017年10月21日","6,005.10","5,984.90","6,190.00","5,873.60","0.34"
"2017年10月20日","5,984.50","5,694.00","6,082.20","5,606.40","5.10"
"2017年10月19日","5,694.00","5,574.80","5,741.00","5,505.80","2.32"
"2017年10月18日","5,565.00","5,597.70","5,597.90","5,114.30","-0.57"
"2017年10月17日","5,597.10","5,764.80","5,779.00","5,511.00","-2.90"
"2017年10月16日","5,764.40","5,712.20","5,803.20","5,570.40","1.15"
"2017年10月15日","5,698.60","5,838.70","5,876.90","5,450.00","-2.34"
"2017年10月14日","5,835.00","5,636.80","5,854.30","5,567.30","3.52"
"2017年10月13日","5,636.80","5,440.00","5,874.30","5,376.00","3.84"
"2017年10月12日","5,428.50","4,824.90","5,437.60","4,815.10","12.51"
"2017年10月11日","4,824.90","4,777.70","4,879.50","4,715.00","1.00"
"2017年10月10日","4,777.00","4,782.30","4,940.00","4,717.50","-0.11"
"2017年10月9日","4,782.30","4,612.40","4,874.90","4,551.30","3.67"
"2017年10月8日","4,613.10","4,435.90","4,630.00","4,417.60","3.99"
"2017年10月7日","4,436.00","4,370.00","4,477.10","4,316.10","1.49"
"2017年10月6日","4,371.00","4,312.60","4,424.50","4,294.00","1.29"
"2017年10月5日","4,315.40","4,215.90","4,364.60","4,134.90","2.38"
"2017年10月4日","4,215.10","4,310.60","4,353.80","4,177.70","-2.23"
"2017年10月3日","4,311.10","4,399.30","4,439.90","4,222.00","-2.02"
"2017年10月2日","4,400.10","4,404.30","4,482.00","4,359.80","-0.10"
"2017年10月1日","4,404.30","4,366.60","4,420.50","4,257.70","0.85"
"2017年9月30日","4,367.00","4,168.10","4,393.40","4,160.10","4.73"
"2017年9月29日","4,169.90","4,190.00","4,244.60","4,024.70","-0.48"
"2017年9月28日","4,190.00","4,207.50","4,268.60","4,125.00","-0.37"
"2017年9月27日","4,205.40","3,881.60","4,226.50","3,878.10","8.41"
"2017年9月26日","3,879.10","3,930.00","3,983.00","3,850.90","-1.30"
"2017年9月25日","3,930.00","3,654.70","3,977.00","3,654.70","7.59"
"2017年9月24日","3,652.80","3,779.60","3,781.30","3,620.00","-3.35"
